scenario,model,plugin,turn,session_id,input,output,reasoning,cache_write,cache_read,total,cost,status,error_message
haiku-chat10,anthropic/claude-haiku-4-5,0,1,ses_250c4db94ffeIf9v47CvoCFAwf,2,9,0,0,25891,25902,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,2,ses_250c4db94ffeIf9v47CvoCFAwf,1,13,0,0,25911,25925,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,3,ses_250c4db94ffeIf9v47CvoCFAwf,0,9,0,0,25936,25945,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,4,ses_250c4db94ffeIf9v47CvoCFAwf,0,13,0,0,25957,25970,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,5,ses_250c4db94ffeIf9v47CvoCFAwf,0,22,0,0,25983,26005,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,6,ses_250c4db94ffeIf9v47CvoCFAwf,0,14,0,32,25983,26029,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,7,ses_250c4db94ffeIf9v47CvoCFAwf,0,4,0,24,26015,26043,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,8,ses_250c4db94ffeIf9v47CvoCFAwf,0,14,0,15,26039,26068,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,9,ses_250c4db94ffeIf9v47CvoCFAwf,0,4,0,24,26054,26082,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,10,ses_250c4db94ffeIf9v47CvoCFAwf,0,22,0,18,26078,26118,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,1,ses_250c3e1aaffePWna5adyg0ei4i,2,11,0,0,15594,15607,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,2,ses_250c3e1aaffePWna5adyg0ei4i,1,17,0,22,15594,15634,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,3,ses_250c3e1aaffePWna5adyg0ei4i,0,5,0,29,15616,15650,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,4,ses_250c3e1aaffePWna5adyg0ei4i,0,13,0,17,15645,15675,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,5,ses_250c3e1aaffePWna5adyg0ei4i,0,34,0,26,15662,15722,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,6,ses_250c3e1aaffePWna5adyg0ei4i,0,8,0,44,15688,15740,0,ok,
