plugin,turn,total,input,output,reasoning,cache_write,cache_read,cost,answer,status
0,1,19951,974,11,22,0,18944,0.0022998,# opencode-ctx,ok
0,2,22684,3223,5,0,0,19456,0.00389895,258,ok
0,3,23185,652,5,0,0,22528,0.0022011,14,ok
0,4,23566,521,5,0,0,23040,0.00214125,9,ok
0,5,23297,239,7,11,0,23040,0.00198825,DONE,ok
1,1,11142,872,11,19,0,10240,0.001557,# opencode-ctx,ok
1,2,11290,533,5,0,0,10752,0.00122865,258,ok
1,3,11500,231,5,0,0,11264,0.00104055,15,ok
1,4,11422,1177,5,0,0,10240,0.00167325,9,ok
1,5,11386,614,7,13,0,10752,0.0013569,DONE,ok
